"","uniID","mean.visit.length","mean.fl.visits.per.visit","mean.un.visits.per.visit","PlantID","SecondaryID","Cam","treatment","flowering","Date","TimeOut","flowers.shrub","flowers.pot","het.shrub.blooming.neighbours","het.cactus.blooming.neighbours","understory.richness","het.annual.floral.density","understory.assoc","total.visits","Length","pos.Length","dec.Length","visits.per.hour","t.group","mean.fl.visits.per.hour","mean.un.visits.per.hour"
"54","LS34.14.2017",0.0470833333333333,1.83333333333333,1.66666666666667,"184","","LS3","shrub","pre","4.14.2017","14:32",1,1,0,0,3,0,"no",6,"0:59:22",2018-03-09 00:59:22,0.989444444444444,6.06400898371701,"shrub pre",1.85289163391353,1.68444693992139
"55","LS44.14.2017",0.00951388888888889,1,1,"188","","LS4","shrub","pre","4.14.2017","14:38",0,14,1,0,2,0,"ephedra",4,"0:53:26",2018-03-09 00:53:26,0.890555555555556,4.49157829070493,"shrub pre",1.12289457267623,1.12289457267623
"56","LS54.14.2017",0.0580555555555556,2,2,"197","","LS5","shrub","pre","4.14.2017","14:46",1,14,0,0,1,0,"no",2,"0:32:53",2018-03-09 00:32:53,0.548055555555556,3.64926507856057,"shrub pre",3.64926507856057,3.64926507856057
"57","LS64.14.2017",0.0356481481481481,1,1,"195","","LS6","shrub","pre","4.14.2017","14:51",1,6,0,0,3,0,"acamp",3,"1:05:09",2018-03-09 01:05:09,1.08583333333333,2.76285495011512,"shrub pre",0.920951650038373,0.920951650038373
"58","LO14.15.2017",0.0338492063492064,1.14285714285714,1.14285714285714,"278","","LO1","open","pre","4.15.2017","12:42",0,3,0,0,3,2,"no",21,"1:34:38",2018-03-09 01:34:38,1.57722222222222,13.3145473758366,"open pre",0.724601217732602,0.724601217732602
"59","LO24.15.2017",0.0164285714285714,1,1,"280","","LO2","open","pre","4.15.2017","12:49",0,1,1,0,3,0,"no",14,"1:28:05",2018-03-09 01:28:05,1.46805555555556,9.5364238410596,"open pre",0.681173131504257,0.681173131504257
"60","LO34.15.2017",0.0134722222222222,1,1,"282","","LO3","open","pre","4.15.2017","13:05",0,12,0,0,2,0,"no",2,"1:05:22",2018-03-09 01:05:22,1.08944444444444,1.83579806221316,"open pre",0.917899031106578,0.917899031106578
"61","LO44.15.2017",0.0400555555555556,1.2,1.2,"294","","LO4","open","pre","4.15.2017","13:13",0,15,0,0,3,0,"no",5,"1:06:59",2018-03-09 01:06:59,1.11638888888889,4.47872605125653,"open pre",1.07489425230157,1.07489425230157
"62","LO54.15.2017",0.000277777777777778,1,1,"295","","LO5","open","pre","4.15.2017","13:20",0,12,0,0,2,4,"no",1,"1:15:33",2018-03-09 01:15:33,1.25916666666667,0.794176042356056,"open pre",0.794176042356056,0.794176042356056
"63","LO64.15.2017",0.0576111111111111,1.6,1.4,"299","","LO6","open","pre","4.15.2017","13:28",0,2,0,0,3,0,"no",5,"1:07:23",2018-03-09 01:07:23,1.12305555555556,4.45213950037101,"open pre",1.42468464011872,1.24659906010388
"64","LS14.15.2017",0.0316898148148148,1,1,"278","","LS1","shrub","pre","4.15.2017","12:42",0,3,0,0,3,0,"no",12,"1:36:25",2018-03-09 01:36:25,1.60694444444444,7.4675885911841,"shrub pre",0.622299049265341,0.622299049265341
"65","LS24.15.2017",0.0401851851851852,2,2,"280","","LS2","shrub","pre","4.15.2017","12:49",0,1,0,0,2,0,"ephedra",3,"1:38:29",2018-03-09 01:38:29,1.64138888888889,1.8277204264681,"shrub pre",1.21848028431207,1.21848028431207
"66","LS34.15.2017",0.00972222222222222,1,1,"282","","LS3","shrub","pre","4.15.2017","13:05",0,12,0,0,3,0,"no",2,"0:53:06",2018-03-09 00:53:06,0.885,2.25988700564972,"shrub pre",1.12994350282486,1.12994350282486
"67","LS44.15.2017",0.0224305555555556,1,1,"294","","LS4","shrub","pre","4.15.2017","13:13",0,15,0,0,3,4,"ephedra",4,"0:48:11",2018-03-09 00:48:11,0.803055555555556,4.98097544102387,"shrub pre",1.24524386025597,1.24524386025597
"68","LS54.15.2017",0.0110185185185185,1,1,"295","","LS5","shrub","pre","4.15.2017","13:20",0,12,0,0,4,2,"acamp",3,"1:02:53",2018-03-09 01:02:53,1.04805555555556,2.86244367877021,"shrub pre",0.954147892923403,0.954147892923403
"69","LS64.15.2017",0.0255555555555556,1,1,"299","","LS6","shrub","pre","4.15.2017","13:28",0,2,0,0,2,0,"acamp",5,"1:07:09",2018-03-09 01:07:09,1.11916666666667,4.46760982874162,"shrub pre",0.893521965748325,0.893521965748325
"70","LO14.16.2017",NA,1,1,"264","","LO1","open","pre","4.16.2017","11:50",1,3,0,0,1,0,"no",27,"1:35:35",2018-03-09 01:35:35,1.59305555555556,16.9485614646905,"open pre",0.627724498692241,0.627724498692241
"71","LO34.16.2017",0.0493686868686869,1,1,"286","","LO3","open","pre","4.16.2017","12:09",0,13,0,0,2,0,"no",11,"1:06:56",2018-03-09 01:06:56,1.11555555555556,9.8605577689243,"open pre",0.896414342629482,0.896414342629482
"72","LO44.16.2017",0.0649206349206349,1,1,"182","","LO4","open","pre","4.16.2017","12:15",3,13,0,0,2,7,"no",7,"1:02:46",2018-03-09 01:02:46,1.04611111111111,6.69144981412639,"open pre",0.955921402018056,0.955921402018056
"73","LO54.16.2017",NA,1,1,"185","","LO5","open","pre","4.16.2017","12:21",0,3,1,0,4,0,"no",30,"1:15:05",2018-03-09 01:15:05,1.25138888888889,23.9733629300777,"open pre",0.799112097669256,0.799112097669256
"74","LO64.16.2017",0.00550925925925926,1,1,"291","","LO6","open","pre","4.16.2017","12:29",1,12,0,0,2,1,"no",6,"1:04:23",2018-03-09 01:04:23,1.07305555555556,5.5915091897489,"open pre",0.931918198291483,0.931918198291483
"75","LS14.16.2017",0.0564814814814815,1.11111111111111,1.11111111111111,"264","","LS1","shrub","pre","4.16.2017","11:50",1,3,0,0,2,0,"acamp",9,"1:37:38",2018-03-09 01:37:38,1.62722222222222,5.53089791737794,"shrub pre",0.682826903379993,0.682826903379993
"76","LS24.16.2017",0.0728518518518518,1,1,"276","","LS2","shrub","pre","4.16.2017","12:04",3,12,0,0,2,1,"?",15,"1:41:53",2018-03-09 01:41:53,1.69805555555556,8.83363324063471,"shrub pre",0.588908882708981,0.588908882708981
"77","LS34.16.2017",0.00694444444444444,1,1,"286","","LS3","shrub","pre","4.16.2017","12:09",0,13,0,0,1,3,"ephedra",1,"0:58:50",2018-03-09 00:58:50,0.980555555555556,1.01983002832861,"shrub pre",1.01983002832861,1.01983002832861
"78","LS44.16.2017",0.0436111111111111,2,2,"182","","LS4","shrub","pre","4.16.2017","12:15",3,13,0,0,3,2,"no",1,"0:52:19",2018-03-09 00:52:19,0.871944444444444,1.14686205798025,"shrub pre",2.2937241159605,2.2937241159605
"79","LS54.16.2017",0.00138888888888889,1,1,"185","","LS5","shrub","pre","4.16.2017","12:21",0,3,1,0,4,0,"ephedra",1,"1:02:09",2018-03-09 01:02:09,1.03583333333333,0.965406275140788,"shrub pre",0.965406275140788,0.965406275140788
"80","LS64.16.2017",0.0820138888888889,1,1,"291","","LS6","shrub","pre","4.16.2017","12:29",1,12,2,0,2,1,"no",4,"1:06:43",2018-03-09 01:06:43,1.11194444444444,3.59730202348239,"shrub pre",0.899325505870597,0.899325505870597
"81","LO14.18.2017",0.222731481481482,1,1,"270","","LO1","open","pre","4.18.2017","12:47",5,13,1,0,2,0,"",6,"1:18:13",2018-03-09 01:18:13,1.30361111111111,4.60259961645003,"open pre",0.767099936075005,0.767099936075005
"82","LO24.18.2017",0.00166666666666667,1,1,"271","","LO2","open","pre","4.18.2017","12:53",0,3,0,0,2,0,"",1,"1:28:13",2018-03-09 01:28:13,1.47027777777778,0.680143585868128,"open pre",0.680143585868128,0.680143585868128
"83","LO34.18.2017",0.0822222222222222,1,1,"283","","LO3","open","pre","4.18.2017","13:01",0,15,0,0,1,0,"",1,"1:04:58",2018-03-09 01:04:58,1.08277777777778,0.923550538737814,"open pre",0.923550538737814,0.923550538737814
"84","LO44.18.2017",0.0377777777777778,1,1,"290","","LO4","open","pre","4.18.2017","13:09",5,1,0,0,3,0,"",3,"0:54:38",2018-03-09 00:54:38,0.910555555555556,3.29469188529591,"open pre",1.09823062843197,1.09823062843197
"85","LO54.18.2017",0.000277777777777778,1,1,"297","","LO5","open","pre","4.18.2017","13:17",2,15,0,0,3,0,"",1,"1:14:35",2018-03-09 01:14:35,1.24305555555556,0.804469273743017,"open pre",0.804469273743017,0.804469273743017
"86","LO64.18.2017",NA,NA,NA,"298","","LO6","open","pre","4.18.2017","13:16",5,15,0,0,2,0,"",0,"0:40:17",2018-03-09 00:40:17,0.671388888888889,0,"open pre",NA,NA
"87","LS14.18.2017",0.0169791666666667,1,1,"270","","LS1","shrub","pre","4.18.2017","12:47",5,13,0,0,3,0,"",8,"1:36:20",2018-03-09 01:36:20,1.60555555555556,4.98269896193772,"shrub pre",0.622837370242215,0.622837370242215
"88","LS24.18.2017",0.0989236111111111,1,1,"271","","LS2","shrub","pre","4.18.2017","12:53",0,3,0,0,3,0,"",8,"1:40:29",2018-03-09 01:40:29,1.67472222222222,4.77691159396251,"shrub pre",0.597113949245314,0.597113949245314
"89","LS34.18.2017",0.00527777777777778,1,1,"283","","LS3","shrub","pre","4.18.2017","13:01",0,15,0,0,2,0,"",2,"0:41:49",2018-03-09 00:41:49,0.696944444444444,2.86966919091271,"shrub pre",1.43483459545636,1.43483459545636
"90","LS44.18.2017",NA,NA,NA,"290","","LS4","shrub","pre","4.18.2017","13:09",5,1,0,0,3,0,"",0,"0:52:06",2018-03-09 00:52:06,0.868333333333333,0,"shrub pre",NA,NA
"91","LS54.18.2017",NA,NA,NA,"297","","LS5","shrub","pre","4.18.2017","13:17",2,15,0,0,1,0,"",0,"0:39:42",2018-03-09 00:39:42,0.661666666666667,0,"shrub pre",NA,NA
"92","LS64.18.2017",0.00208333333333333,1,1,"298","","LS6","shrub","pre","4.18.2017","13:16",5,15,0,0,2,0,"yucca",2,"1:07:51",2018-03-09 01:07:51,1.13083333333333,1.76860722181282,"shrub pre",0.884303610906411,0.884303610906411
"93","LO14.19.2017",0.217740740740741,1.13333333333333,1.13333333333333,"114","","LO1","open","pre","4.19.2017","12:15",2,4,1,0,1,0,"",15,"1:35:48",2018-03-09 01:35:48,1.59666666666667,9.39457202505219,"open pre",0.709812108559499,0.709812108559499
"94","LO24.19.2017",0.259236111111111,1,1,"274","","LO2","open","pre","4.19.2017","12:11",1,3,0,0,2,0,"",4,"1:14:08",2018-03-09 01:14:08,1.23555555555556,3.23741007194245,"open pre",0.809352517985612,0.809352517985612
"95","LO34.19.2017",0.0602777777777778,1,1,"281","","LO3","open","pre","4.19.2017","12:09",2,11,0,0,1,0,"",4,"1:02:41",2018-03-09 01:02:41,1.04472222222222,3.82876894442967,"open pre",0.957192236107418,0.957192236107418
"96","LO44.19.2017",0.184722222222222,1,1,"198","","LO4","open","pre","4.19.2017","12:06",1,2,0,0,4,0,"",1,"0:52:42",2018-03-09 00:52:42,0.878333333333333,1.13851992409867,"open pre",1.13851992409867,1.13851992409867
"97","LO54.19.2017",0.22533950617284,1,1,"181","","LO5","open","pre","4.19.2017","12:04",3,3,1,0,2,0,"",9,"1:15:02",2018-03-09 01:15:02,1.25055555555556,7.1968014215904,"open pre",0.799644602398934,0.799644602398934
