PlantID,date,time.start,duration (min),s.species,pre.post,visitor.rtu,v.species,behaviour,part.used,visitor.description,voucher?
289,4.22.2017,14:28,15,larrea,post,fly,fly,landing,branch,tiny,
146,4.22.2017,15:07,15,larrea,post,hemiptera,hemiptera,landing,flower,"black and red, similar to boxelder",
146,4.22.2017,15:07,15,larrea,post,fly,fly,fly near,branch,buds,
146,4.22.2017,15:07,15,larrea,post,ant,ant,crawling,flower,old flower,
146,4.22.2017,15:07,15,larrea,post,solitary.bee,Eucera,landing,flower,"medium gray black, hairy stripes",
197,4.22.2017,15:25,15,larrea,post,NA,NA,,,,
195,4.22.2017,15:43,15,larrea,post,solitary.bee,solitary.bee,landing,flower,"small, escaped",
new1,4.22.2017,16:05,15,larrea,post,spider,spider,crawling,branch,on bud,
new1,4.22.2017,16:05,15,larrea,post,solitary.bee,solitary.bee,landing,flower,"medium, gray escaped, fast",
new1,4.22.2017,16:05,15,larrea,post,ladybeetle,lady beetle,landing,branch,,
new1,4.22.2017,16:05,15,larrea,post,wasp,parasitoid wasp,landing,branch,"black, tiny, parastoid",
new1,4.22.2017,16:05,15,larrea,post,wasp,wasp,landing,branch,small,
new1,4.22.2017,16:05,15,larrea,post,centris,centris rhodopus,landing,flower,,
266,4.22.2017,16:28,15,larrea,post,solitary.bee,Eucera,fly near,flower,"same as others, grey/blac k",
266,4.22.2017,16:28,15,larrea,post,muscoid,Muscoidea,landing,branch,medium,
275,4.23.2017,12:37,15,larrea,post,agapostemon/augochlorella,chrysididae,landing,branch,,
