InsectID,Location,Date,PlantID,Magnet,Microsite,Flowering,Quantity,Order,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,highest.rtu,Common Name,Notes,Specimen Location,ID Keys Used
Open.300.May.5.2017.Braun.2,pinned,5.5.2017,300,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.302.May.5.2017.Braun.2,pinned,5.5.2017,302,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.302.May.5.2017.Braun.3,pinned,5.5.2017,302,larrea,shrub,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.303.May.5.2017.Braun.3,pinned,5.5.2017,303,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.303.May.5.2017.Braun.4,pinned,5.5.2017,303,larrea,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
,ethanol,5.1.2017,199,,open,post,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.196.April.12.2017.Braun.1,pinned,4.12.2017,196,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.198.April.12.2017.Braun.1,pinned,4.12.2017,198,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Shrub.289.April.12.2017.Braun.1,pinned,4.12.2017,289,larrea,shrub,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.190.April.13.2017.Braun.2,pinned,4.13.2017,190,larrea,open,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.190.April.13.2017.Braun.3,pinned,4.13.2017,190,larrea,open,pre,1,Diptera,,Asilidae,,,,,,Asilidae,,,,
Open.287.April.20.2017.Braun.2,pinned,4.20.2017,287,larrea,open,pre,1,Hymenoptera,,Megachilidae,,,Atoposmia,,,Atoposmia,,,,
,ethanol,4.15.2017,199,,shrub,pre,2,Hemiptera,,Berytidae,reddish,,,,,Berytidae,,,,
Open.265.April.30.2017.Braun.2,pinned,4.30.2017,265,larrea,open,post,1,Hemiptera,,Berytidae,,,,,,Berytidae,,,,
,ethanol,4.30.2017,272,,open,post,1,Hemiptera,,Berytidae,,,,,,Berytidae,,,,
Open.296.April.10.2017.Braun.7,pinned,4.10.2017,296,larrea,open,pre,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,"grey, yellowed mouth area. ",,
Shrub.268.April.16.2017.Braun.2,pinned,4.16.2017,268,larrea,shrub,pre,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,yellow hair,,
Open.146.April.23.2017.Braun.1,pinned,4.23.2017,146,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.195.April.23.2017.Braun.1,pinned,4.23.2017,195,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.289.April.23.2017.Braun.1,pinned,4.23.2017,289,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.264.April.26.2017.Braun.3,pinned,4.26.2017,264,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.295.April.26.2017.Braun.1,pinned,4.26.2017,295,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.301.April.26.2017.Braun.2,pinned,4.26.2017,301,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.188.April.27.2017.Braun.3,pinned,4.27.2017,188,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.293.April.27.2017.Braun.1,pinned,4.27.2017,293,larrea,open,post,1,Diptera,,Bombyliidae,,Toxophorini?,,,,Bombyliidae,,,,
Shrub.265.April.30.2017.Braun.1,pinned,4.30.2017,265,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.268.April.30.2017.Braun.1,pinned,4.30.2017,268,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.268.April.30.2017.Braun.2,pinned,4.30.2017,268,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.268.April.30.2017.Braun.3,pinned,4.30.2017,268,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.285.May.3.2017.Braun.4,pinned,5.3.2017,285,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Open.261.May.4.2017.Braun.3,pinned,5.4.2017,261,larrea,open,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.273.May.4.2017.Braun.3,pinned,5.4.2017,273,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.280.May.4.2017.Braun.3,pinned,5.4.2017,280,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.185.May.5.2017.Braun.3,pinned,5.5.2017,185,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
Shrub.193.May.5.2017.Braun.3,pinned,5.5.2017,193,larrea,shrub,post,1,Diptera,,Bombyliidae,,,,,,Bombyliidae,,,,
