"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.descript","visitor.rtu.original","highest.rtu","flies.on","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","id.check","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"50","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid?","toxomerus?","Y","","","0:06:34","0:07:46","0:01:12",1,1,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:01:12,0.02,0.0833333333333333,0.0833333333333333
"51","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid","eupeodes/scaeva","Y","","","0:09:40","0:09:41","0:00:01",1,1,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:00:01,0.000277777777777778,0.0833333333333333,0.0833333333333333
"52","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid","eupeodes/scaeva","Y","","","0:10:02","0:10:50","0:00:48",2,2,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:00:48,0.0133333333333333,0.166666666666667,0.166666666666667
"53","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","syrphid","eupeodes/scaeva","Y","","","0:14:39","0:15:41","0:01:02",2,2,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:01:02,0.0172222222222222,0.166666666666667,0.166666666666667
"54","Jenna","LO3","187","open","pre","larrea","malacothrix","4.10.2017","0:52:39",12,"","fly?beetle?","beetle or small bee","Y","don't see it fly away, disappears into flower","","0:50:53","0:52:39","0:01:46",1,1,"","","4.10.2017 187 LO3 open pre","LO34.10.2017",2019-03-04 00:01:46,0.0294444444444444,0.0833333333333333,0.0833333333333333
"55","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","small fly?","beetle or fly","Y","disappears into flower","","0:00:00","0:00:07","0:00:07",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:00:07,0.00194444444444444,0.111111111111111,0.111111111111111
"56","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","syphid","eupeodes/scaeva","Y","","","0:16:25","0:17:33","0:01:08",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:01:08,0.0188888888888889,0.111111111111111,0.111111111111111
"57","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","syrphid","eupeodes/scaeva","Y","maybe same visit as above","","0:17:47","0:18:58","0:01:11",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:01:11,0.0197222222222222,0.111111111111111,0.111111111111111
"58","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","syrphid","eupeodes/scaeva","Y","","","0:19:48","0:19:56","0:00:08",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:00:08,0.00222222222222222,0.111111111111111,0.111111111111111
"59","Jenna","LO4","288","open","pre","larrea","malacothrix","4.10.2017","0:39:39",9,"","syrphid","eupeodes/scaeva","Y","","","0:27:33","0:28:09","0:00:36",1,1,"","","4.10.2017 288 LO4 open pre","LO44.10.2017",2019-03-04 00:00:36,0.01,0.111111111111111,0.111111111111111
