"","Recorder","Rep","plant.id","microsite","flowering","magnet.species","phyto.species","video.date","video.length","flower.fov","visitor.species","visitor.descript","visitor.rtu","visitor.behaviour","other.description","start.time","end.time","total.time","flowers.visits","unique.fl.visited","X","X.1","X.2","X.3","X.4","X.5","uniID","pos.total.time","dec.total.time","prop.fl.visited","prop.un.fl.visited"
"72","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","1:16:48","1:17:22","0:00:34",2,2,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:00:34,0.00944444444444444,NA,NA
"73","Jenna","LO1","146","open","pre","larrea","malacothrix","4.10.2017","1:22:51",NA,"syrphid","","syrphid","pollinate","","1:17:11","1:18:50","0:01:39",2,2,NA,NA,NA,NA,NA,NA,"LO14.10.2017",2018-03-12 00:01:39,0.0275,NA,NA
"74","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","small, can't see it clearly on small screen","small bee?","","crawled to back of flower","0:04:55","0:10:02","0:05:07",2,2,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:05:07,0.0852777777777778,0.222222222222222,0.222222222222222
"75","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"syrphid","","syrphid","pollinate","","0:14:14","0:24:04","0:09:50",2,2,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:09:50,0.163888888888889,0.222222222222222,0.222222222222222
"76","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"syrphid","","syrphid","pollinate","","0:22:10","0:22:35","0:00:25",1,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:00:25,0.00694444444444444,0.111111111111111,0.111111111111111
"77","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","very small","?","","","0:28:13","0:29:57","0:01:44",1,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:01:44,0.0288888888888889,0.111111111111111,0.111111111111111
"78","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","very small","?","","","0:30:58","0:56:49","0:25:51",1,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:25:51,0.430833333333333,0.111111111111111,0.111111111111111
"79","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","","syrphid","pollinate","","0:31:39","0:31:40","0:00:01",1,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:00:01,0.000277777777777778,0.111111111111111,0.111111111111111
"80","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","","syrphid","","","1:16:05","1:16:16","0:00:11",1,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:00:11,0.00305555555555556,0.111111111111111,0.111111111111111
"81","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","","?","","","1:16:26","1:17:49","0:01:23",1,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:01:23,0.0230555555555556,0.111111111111111,0.111111111111111
"82","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","","syrphid","pollinate","","1:24:06","1:27:17","0:03:11",2,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:03:11,0.0530555555555556,0.222222222222222,0.111111111111111
"83","Jenna","LS1","146","shrub","pre","larrea","malacothrix","4.10.2017","1:37:04",9,"","","syrphid","pollinate","","1:28:45","1:30:05","0:01:20",1,1,NA,NA,NA,NA,NA,NA,"LS14.10.2017",2018-03-12 00:01:20,0.0222222222222222,0.111111111111111,0.111111111111111
"84","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid","landing/pollinate","very brief, touches edge of first flwoer only, < 1 second per flower","0:05:51","0:05:57","0:00:06",2,2,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:00:06,0.00166666666666667,0.222222222222222,0.222222222222222
"85","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid","","","0:09:19","0:09:33","0:00:14",1,1,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:00:14,0.00388888888888889,0.111111111111111,0.111111111111111
"86","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid","","","0:10:20","0:13:45","0:03:25",2,1,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:03:25,0.0569444444444444,0.222222222222222,0.111111111111111
"87","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid","","","0:15:30","0:15:40","0:00:10",1,1,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:00:10,0.00277777777777778,0.111111111111111,0.111111111111111
"88","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid","don't see it fly away, disappears into flower","","0:18:56","0:19:09","0:00:13",1,1,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:00:13,0.00361111111111111,0.111111111111111,0.111111111111111
"89","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid?","","","0:26:15","0:29:04","0:02:49",1,1,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:02:49,0.0469444444444444,0.111111111111111,0.111111111111111
"90","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid","landing out edge of flower","","0:27:45","0:27:45","0:00:00",1,1,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:00:00,0,0.111111111111111,0.111111111111111
"91","Jenna","LO2","193","open","pre","larrea","malacothrix","4.10.2017","1:30:48",9,"","","syrphid","pollinate","","0:27:52","0:31:09","0:03:17",1,1,NA,NA,NA,NA,NA,NA,"LO24.10.2017",2018-03-12 00:03:17,0.0547222222222222,0.111111111111111,0.111111111111111
